,movie_id,averagerating,title,genres,domestic_gross,foreign_gross,total_gross
1315,tt1628042,6.5,Gone,Documentary,11700000.0,6400000.0,18100000.0
1369,tt1691917,5.7,Planes,"Adventure,Animation,Comedy",90300000.0,149000000.0,239300000.0
1397,tt1716772,6.8,The Inbetweeners Movie,Comedy,36000.0,88000000.0,88036000.0
1448,tt1772288,7.0,Danny Collins,"Biography,Comedy,Drama",5600000.0,5200000.0,10800000.0
1467,tt1037705,6.9,The Book of Eli,"Action,Adventure,Drama",94800000.0,62300000.0,157100000.0
1476,tt1120985,7.4,Blue Valentine,"Drama,Romance",9700000.0,2600000.0,12300000.0
1481,tt1179933,7.2,10 Cloverfield Lane,"Drama,Horror,Mystery",72100000.0,38100000.0,110200000.0
1484,tt1211956,6.7,Escape Plan,"Action,Crime,Mystery",25100000.0,112200000.0,137300000.0
1490,tt1235189,6.8,Wild Target,"Action,Comedy,Crime",109000.0,3300000.0,3409000.0
1498,tt1298649,5.7,The Watch,"Action,Comedy,Horror",35400000.0,32900000.0,68300000.0
1499,tt1298650,6.6,Pirates of the Caribbean: On Stranger Tides,"Action,Adventure,Fantasy",241100000.0,804600000.0,1045700000.0
1511,tt1323594,7.7,Despicable Me,"Animation,Comedy,Family",251500000.0,291600000.0,543100000.0
1518,tt1351685,6.3,Jack the Giant Slayer,"Adventure,Fantasy",65200000.0,132500000.0,197700000.0
1531,tt1413492,6.6,12 Strong,"Action,Drama,History",45800000.0,21600000.0,67400000.0
1533,tt1417067,7.3,Cirkus Columbia,"Comedy,Drama,Romance",3500.0,9500.0,13000.0
1538,tt1431122,4.2,No Problem,"Action,Comedy,Crime",285000.0,369000.0,654000.0
1544,tt1438216,7.1,Oranges and Sunshine,"Drama,History",143000.0,2400000.0,2543000.0
1587,tt1563738,7.0,One Day,"Drama,Romance",13800000.0,45500000.0,59300000.0
1598,tt1583420,6.1,Larry Crowne,"Comedy,Drama,Romance",35600000.0,36400000.0,72000000.0
1606,tt1591479,6.5,Act of Valor,"Action,Adventure,Drama",70000000.0,11300000.0,81300000.0
1674,tt1679335,6.5,Trolls,"Adventure,Animation,Comedy",153700000.0,193200000.0,346900000.0
1684,tt1692325,8.7,Eyes Wide Open,"Documentary,History",26300.0,250000.0,276300.0
1708,tt1723811,7.2,Shame,Drama,3900000.0,13800000.0,17700000.0
1924,tt7074886,6.2,The Front Runner,"Biography,Drama,History",2000000.0,1200000.0,3200000.0
2155,tt8851190,8.1,Red,Drama,90400000.0,108600000.0,199000000.0
2226,tt0365907,6.5,A Walk Among the Tombstones,"Action,Crime,Drama",26300000.0,26900000.0,53200000.0
2230,tt0492389,3.8,Furry Vengeance,"Comedy,Family",17600000.0,18600000.0,36200000.0
2231,tt0790724,7.0,Jack Reacher,"Action,Crime,Thriller",80100000.0,138300000.0,218400000.0
2233,tt0829150,6.3,Dracula Untold,"Action,Drama,Fantasy",56300000.0,160800000.0,217100000.0
2235,tt0844993,4.8,Hoodwinked Too! Hood vs. Evil,"Animation,Comedy,Crime",10100000.0,6800000.0,16900000.0
2237,tt0903624,7.9,The Hobbit: An Unexpected Journey,"Adventure,Family,Fantasy",303000000.0,718100000.0,1021100000.0
2239,tt0948470,7.0,The Amazing Spider-Man,"Action,Adventure,Sci-Fi",262000000.0,495900000.0,757900000.0
2250,tt1017451,6.6,The Runaways,"Biography,Drama,Music",3600000.0,1100000.0,4700000.0
2262,tt1931435,5.6,The Big Wedding,"Comedy,Drama,Romance",21800000.0,24700000.0,46500000.0
2317,tt1999890,5.5,Hell Fest,Horror,11100000.0,7100000.0,18200000.0
2401,tt2105043,6.6,Upside Down,Drama,105000.0,8000000.0,8105000.0
2451,tt2184339,5.7,The Purge,"Horror,Thriller",64500000.0,24900000.0,89400000.0
2571,tt2363461,3.9,The Pyramid,Horror,2800000.0,14100000.0,16900000.0
2587,tt2380331,6.6,Words and Pictures,"Comedy,Drama,Romance",2200000.0,1200000.0,3400000.0
2682,tt2582782,7.6,Hell or High Water,"Action,Crime,Drama",27000000.0,10900000.0,37900000.0
2715,tt2692250,6.2,Night at the Museum: Secret of the Tomb,"Adventure,Comedy,Family",113700000.0,249500000.0,363200000.0
2760,tt2843832,7.6,The Gambler,Documentary,33700000.0,5600000.0,39300000.0
2778,tt2920540,7.5,"20,000 Days on Earth","Documentary,Drama,Music",280000.0,1800000.0,2080000.0
2843,tt3065132,6.9,He Named Me Malala,Documentary,2700000.0,97100.0,2797100.0
2875,tt3165612,6.5,Sleeping with Other People,"Comedy,Drama,Romance",819000.0,2400000.0,3219000.0
2877,tt3166734,7.7,Alpha,"Drama,Horror,Mystery",35900000.0,62300000.0,98200000.0
2929,tt3316960,7.5,Still Alice,Drama,18800000.0,25100000.0,43900000.0
3079,tt3766354,6.7,The Equalizer 2,"Action,Crime,Thriller",102100000.0,88300000.0,190400000.0
3130,tt1033575,7.3,The Descendants,"Comedy,Drama",82600000.0,94700000.0,177300000.0
3137,tt1091821,5.6,Noah,Animation,101200000.0,261399999.0,362599999.0
3140,tt1130884,8.1,Shutter Island,"Mystery,Thriller",128000000.0,166800000.0,294800000.0
3143,tt1182350,6.3,You Will Meet a Tall Dark Stranger,"Comedy,Drama,Romance",3200000.0,31000000.0,34200000.0
3145,tt1196141,6.2,Diary of a Wimpy Kid,"Comedy,Drama,Family",64000000.0,11700000.0,75700000.0
3146,tt1198101,6.1,Kites,"Action,Drama,Romance",1600000.0,1300000.0,2900000.0
3147,tt1204977,4.5,Ouija,"Horror,Mystery,Thriller",50900000.0,52700000.0,103600000.0
3149,tt1206543,6.8,Out of the Furnace,"Crime,Drama,Thriller",11300000.0,4300000.0,15600000.0
3158,tt1253864,6.0,Immortals,"Action,Drama,Fantasy",83500000.0,143400000.0,226900000.0
3163,tt1273678,5.5,The Spy Next Door,"Action,Comedy,Family",24300000.0,20900000.0,45200000.0
3168,tt1311075,6.6,The Human Resources Manager,"Comedy,Drama",64000.0,329000.0,393000.0
3175,tt1325004,5.0,The Twilight Saga: Eclipse,"Adventure,Drama,Fantasy",300500000.0,398000000.0,698500000.0
3185,tt1355630,6.8,If I Stay,"Drama,Fantasy,Music",50500000.0,28400000.0,78900000.0
3195,tt1392190,8.1,Mad Max: Fury Road,"Action,Adventure,Sci-Fi",153600000.0,224800000.0,378400000.0
3203,tt1440292,7.3,Submarine,"Comedy,Drama,Romance",468000.0,397000.0,865000.0
3204,tt1440345,6.7,This Must Be the Place,"Comedy,Drama",144000.0,11600000.0,11744000.0
3209,tt1454029,8.1,The Help,Drama,169700000.0,46900000.0,216600000.0
3232,tt1521848,6.4,Potiche,Comedy,1600000.0,21600000.0,23200000.0
3269,tt1578275,5.3,The Dilemma,"Comedy,Drama",48500000.0,21200000.0,69700000.0
3300,tt1623008,7.2,The Arbor,"Biography,Documentary,Drama",21600.0,105000.0,126600.0
3318,tt1646118,6.4,Octubre,Drama,32100.0,96700.0,128800.0
3326,tt1667838,5.7,I Hate Luv Storys,"Comedy,Drama,Romance",848000.0,14900000.0,15748000.0
3334,tt1674771,6.6,Entourage,Comedy,32400000.0,16900000.0,49300000.0
3457,tt1809398,7.2,Unbroken,"Biography,Drama,Sport",115600000.0,47800000.0,163400000.0
3540,tt6772950,5.2,Truth or Dare,"Horror,Thriller",41400000.0,53900000.0,95300000.0
3588,tt7033498,6.5,Twelve,"Family,Sport",184000.0,2400000.0,2584000.0
3647,tt7334528,5.7,Uncle Drew,"Comedy,Sport",42500000.0,4200000.0,46700000.0
3658,tt7401588,7.4,Instant Family,"Comedy,Drama",67400000.0,53200000.0,120600000.0
3736,tt7867360,6.1,Abduction,"Action,Sci-Fi",28100000.0,54000000.0,82100000.0
3809,tt8396182,6.3,Aurora,Drama,5700.0,5100.0,10800.0
3919,tt0427152,5.9,Dinner for Schmucks,Comedy,73000000.0,13800000.0,86800000.0
3922,tt0498381,4.5,Rings,"Drama,Horror,Mystery",27800000.0,55300000.0,83100000.0
3926,tt1085448,6.6,Lights Out,Drama,67300000.0,81600000.0,148900000.0
3927,tt1092026,7.0,Paul,"Adventure,Comedy,Sci-Fi",37400000.0,60600000.0,98000000.0
3929,tt1178665,6.3,A Walk in the Woods,"Adventure,Biography,Comedy",29500000.0,8000000.0,37500000.0
3941,tt1231583,6.5,Due Date,"Adventure,Comedy",100500000.0,111200000.0,211700000.0
3952,tt1305591,5.4,Mars Needs Moms,"Adventure,Animation,Family",21400000.0,17600000.0,39000000.0
3955,tt1308728,5.3,The Happytime Murders,"Action,Comedy,Crime",20700000.0,6800000.0,27500000.0
3956,tt1314655,6.2,Devil,"Horror,Mystery,Thriller",33600000.0,29100000.0,62700000.0
3971,tt1375670,6.0,Grown Ups,Comedy,162000000.0,109400000.0,271400000.0
3976,tt1389137,7.1,We Bought a Zoo,"Comedy,Drama,Family",75600000.0,44500000.0,120100000.0
3993,tt1441952,6.8,Salmon Fishing in the Yemen,"Comedy,Drama,Romance",9000000.0,25500000.0,34500000.0
3995,tt1456635,6.8,Goon,"Comedy,Drama,Sport",4200000.0,2300000.0,6500000.0
4001,tt1478964,6.7,Attack the Block,"Action,Comedy,Sci-Fi",1000000.0,4800000.0,5800000.0
4003,tt1480656,5.0,Cosmopolis,"Drama,Fantasy",764000.0,5300000.0,6064000.0
4009,tt1502404,5.4,Drive Angry,"Action,Fantasy,Thriller",10700000.0,18200000.0,28900000.0
4022,tt1527835,6.3,Archipelago,Drama,7800.0,492000.0,499800.0
4041,tt1562859,5.4,Golmaal 3,"Action,Comedy",1100000.0,935000.0,2035000.0
4058,tt1588353,7.6,Bang Bang,Drama,2500000.0,39500000.0,42000000.0
4067,tt1596346,7.1,Soul Surfer,"Biography,Drama,Family",43900000.0,3200000.0,47100000.0
4072,tt1605776,8.3,The Visit,"Comedy,Drama,Romance",65200000.0,33200000.0,98400000.0
4080,tt1615160,7.0,The Foreigner,"Action,Thriller",34400000.0,111000000.0,145400000.0
4237,tt1788391,6.4,Kill List,"Crime,Drama,Horror",29100.0,143000.0,172100.0
4260,tt1826727,7.6,Life of the Party,"Comedy,Drama",53100000.0,12800000.0,65900000.0
4371,tt7130262,5.5,Snatched,Thriller,45900000.0,15000000.0,60900000.0
4586,tt9151704,8.8,Burn the Stage: The Movie,"Documentary,Music",4200000.0,16100000.0,20300000.0
4620,tt0803096,6.9,Warcraft,"Action,Adventure,Fantasy",47400000.0,386300000.0,433700000.0
4626,tt0964517,7.8,The Fighter,"Biography,Drama,Sport",93600000.0,35600000.0,129200000.0
4627,tt0990407,5.8,The Green Hornet,"Action,Comedy,Crime",98800000.0,129000000.0,227800000.0
4645,tt1850457,6.0,Sisters,Comedy,87000000.0,18000000.0,105000000.0
4658,tt1866249,7.2,The Sessions,"Biography,Comedy,Drama",6000000.0,3100000.0,9100000.0
4715,tt1943765,6.8,Morgan,"Drama,Romance",3900000.0,4900000.0,8800000.0
4765,tt2005151,7.1,War Dogs,"Comedy,Crime,Drama",43000000.0,43200000.0,86200000.0
4875,tt2179136,7.3,American Sniper,"Action,Biography,Drama",350100000.0,197300000.0,547400000.0
4920,tt2239822,6.5,Valerian and the City of a Thousand Planets,"Action,Adventure,Fantasy",41200000.0,184700000.0,225900000.0
5020,tt2357129,5.9,Jobs,"Biography,Drama",16100000.0,19800000.0,35900000.0
5050,tt2390283,6.1,Midnight Sun,"Adventure,Family",9600000.0,17800000.0,27400000.0
5521,tt3606752,6.8,Cars 3,"Adventure,Animation,Comedy",152900000.0,231000000.0,383900000.0
5651,tt7242142,7.4,Blindspotting,"Comedy,Crime,Drama",4300000.0,530000.0,4830000.0
5922,tt1075747,4.7,Jonah Hex,"Action,Drama,Fantasy",10500000.0,356000.0,10856000.0
5925,tt1109624,7.2,Paddington,"Adventure,Comedy,Family",76300000.0,191800000.0,268100000.0
5926,tt1111235,4.6,Trance,Horror,2300000.0,21900000.0,24200000.0
5939,tt1217209,7.1,Brave,"Adventure,Animation,Comedy",237300000.0,303200000.0,540500000.0
5942,tt1234654,6.1,Greenberg,"Comedy,Drama,Romance",4200000.0,1900000.0,6100000.0
5944,tt1265990,4.9,The Roommate,"Drama,Thriller",37300000.0,3200000.0,40500000.0
5961,tt1334470,5.4,Raavan,"Action,Adventure,Crime",709000.0,648000.0,1357000.0
5963,tt1336617,6.3,Cyrus,"Comedy,Drama,Romance",7500000.0,2500000.0,10000000.0
5986,tt1440732,5.4,Bel Ami,"Drama,History,Romance",120000.0,8199999.0,8319999.0
5993,tt1470023,5.5,MacGruber,"Action,Comedy,Romance",8500000.0,797000.0,9297000.0
6001,tt1488555,6.3,The Change-Up,"Comedy,Fantasy",37100000.0,38400000.0,75500000.0
6053,tt1588173,6.9,Warm Bodies,"Comedy,Horror,Romance",66400000.0,50600000.0,117000000.0
6079,tt1615918,4.4,Alvin and the Chipmunks: Chipwrecked,"Adventure,Animation,Comedy",133100000.0,209600000.0,342700000.0
6099,tt1645089,8.3,Inside Job,"Crime,Documentary",4300000.0,3600000.0,7900000.0
6103,tt1646980,5.9,The Double,"Action,Crime,Drama",138000.0,3600000.0,3738000.0
6104,tt1650062,7.0,Super 8,"Mystery,Sci-Fi,Thriller",127000000.0,133100000.0,260100000.0
6105,tt1650554,6.6,Kick-Ass 2,"Action,Comedy,Crime",28800000.0,32000000.0,60800000.0
6116,tt1663662,6.9,Pacific Rim,"Action,Adventure,Sci-Fi",101800000.0,309200000.0,411000000.0
6209,tt1781769,6.6,Anna Karenina,"Drama,Romance",12800000.0,56100000.0,68900000.0
6312,tt1877832,8.0,X-Men: Days of Future Past,"Action,Adventure,Sci-Fi",233900000.0,513900000.0,747800000.0
6389,tt4034228,7.8,Manchester by the Sea,Drama,47700000.0,31300000.0,79000000.0
6423,tt4123430,6.6,Fantastic Beasts: The Crimes of Grindelwald,"Adventure,Family,Fantasy",159600000.0,494100000.0,653700000.0
6542,tt4555426,7.4,Darkest Hour,"Biography,Drama,History",56500000.0,94400000.0,150900000.0
6732,tt5165344,7.1,Rustom,"Crime,Drama,Thriller",1100000.0,571000.0,1671000.0
6960,tt6113488,6.2,The Case for Christ,"Biography,Drama",14700000.0,3000000.0,17700000.0
7030,tt6343314,7.2,Creed II,"Drama,Sport",115700000.0,98300000.0,214000000.0
7141,tt6966692,8.3,Green Book,"Biography,Comedy,Drama",85100000.0,234700000.0,319800000.0
7233,tt7535780,6.5,The Great Wall,Documentary,45500000.0,289400000.0,334900000.0
7450,tt0369610,7.0,Jurassic World,"Action,Adventure,Sci-Fi",652300000.0,1019.4,652301019.4
7452,tt0401729,6.6,John Carter,"Action,Adventure,Sci-Fi",73100000.0,211100000.0,284200000.0
7454,tt0436230,6.7,The Devil Inside,"Horror,Thriller",53300000.0,48500000.0,101800000.0
7460,tt1139328,7.2,The Ghost Writer,"Drama,Mystery,Thriller",15500000.0,44700000.0,60200000.0
7464,tt1179034,6.5,From Paris with Love,"Action,Crime,Thriller",24100000.0,28700000.0,52800000.0
7466,tt1194173,6.7,The Bourne Legacy,"Action,Adventure,Thriller",113200000.0,162900000.0,276100000.0
7468,tt1219289,7.4,Limitless,"Mystery,Sci-Fi,Thriller",79200000.0,82600000.0,161800000.0
7470,tt1223236,7.6,African Cats,"Adventure,Documentary",15400000.0,15400000.0,30800000.0
7492,tt1294226,6.0,The Last Song,"Drama,Music,Romance",63000000.0,26100000.0,89100000.0
7506,tt1343727,7.1,Dredd,"Action,Crime,Sci-Fi",13400000.0,22200000.0,35600000.0
7516,tt1401152,6.9,Unknown,"Action,Mystery,Thriller",63700000.0,67099999.0,130799999.0
7518,tt1402488,5.9,Happy Feet Two,"Adventure,Animation,Comedy",64000000.0,86400000.0,150400000.0
7526,tt1433822,4.1,The Apparition,"Horror,Thriller",4900000.0,4700000.0,9600000.0
7534,tt1452628,4.9,Vanishing on 7th Street,"Horror,Mystery,Thriller",22700.0,1000000.0,1022700.0
7540,tt1462758,7.0,Buried,"Drama,Mystery,Thriller",1000000.0,18100000.0,19100000.0
7544,tt1469304,5.6,Baywatch,"Action,Comedy,Crime",58100000.0,119800000.0,177900000.0
7568,tt1527186,7.2,Melancholia,"Drama,Sci-Fi",3000000.0,12900000.0,15900000.0
7569,tt1528071,6.5,Horns,"Crime,Drama,Fantasy",174000.0,3700000.0,3874000.0
7597,tt1572315,4.8,Texas Chainsaw 3D,"Horror,Thriller",34300000.0,12900000.0,47200000.0
7620,tt1602613,5.7,Only God Forgives,"Crime,Drama",779000.0,9900000.0,10679000.0
7731,tt1731141,6.6,Ender's Game,"Action,Adventure,Fantasy",61700000.0,63800000.0,125500000.0
7836,tt1837709,6.2,Winter's Tale,"Drama,Fantasy,Mystery",12600000.0,18500000.0,31100000.0
7861,tt1860357,7.1,Deepwater Horizon,"Action,Drama,History",61400000.0,60400000.0,121800000.0
7943,tt4007558,3.7,Shaandaar,"Comedy,Drama,Romance",522000.0,7800000.0,8322000.0
7980,tt4094724,6.0,The Purge: Election Year,"Action,Horror,Sci-Fi",79200000.0,39400000.0,118600000.0
8186,tt4881806,6.2,Jurassic World: Fallen Kingdom,"Action,Adventure,Sci-Fi",417700000.0,891800000.0,1309500000.0
8312,tt5281700,5.4,Heartbeats,"Comedy,Drama,Music",68700.0,520000.0,588700.0
8331,tt5439796,7.0,Logan Lucky,"Comedy,Crime,Drama",27800000.0,20700000.0,48500000.0
8357,tt5503688,5.7,6 Below: Miracle on the Mountain,"Adventure,Biography,Drama",14800.0,1100000.0,1114800.0
8429,tt5776858,7.5,Phantom Thread,"Drama,Romance",21200000.0,26600000.0,47800000.0
8582,tt6359956,5.5,A Bad Moms Christmas,"Adventure,Comedy",72100000.0,58400000.0,130500000.0
8647,tt6663582,6.0,The Spy Who Dumped Me,"Action,Adventure,Comedy",33600000.0,41800000.0,75400000.0
8668,tt6802308,5.2,The 15:17 to Paris,"Biography,Drama,Thriller",36300000.0,20800000.0,57100000.0
8686,tt0451279,7.5,Wonder Woman,"Action,Adventure,Fantasy",412600000.0,409300000.0,821900000.0
8689,tt0479997,5.4,Season of the Witch,"Action,Adventure,Fantasy",24800000.0,66800000.0,91600000.0
8702,tt1183923,7.0,Welcome to the Rileys,Drama,159000.0,158000.0,317000.0
8738,tt1345836,8.4,The Dark Knight Rises,"Action,Thriller",448100000.0,636800000.0,1084900000.0
8741,tt1389072,5.7,Downsizing,"Drama,Sci-Fi",24400000.0,30600000.0,55000000.0
8746,tt1413495,5.7,Paranoia,"Drama,Thriller",7400000.0,6400000.0,13800000.0
8762,tt1462054,6.3,Letters to God,"Drama,Family",2800000.0,60300.0,2860300.0
8783,tt1504320,8.0,The King's Speech,"Biography,Drama,History",135500000.0,275400000.0,410900000.0
8786,tt1506999,5.8,Haywire,"Action,Drama,Thriller",18900000.0,14400000.0,33300000.0
8787,tt1508675,7.2,Le Havre,"Comedy,Drama",612000.0,9900000.0,10512000.0
8798,tt1530983,6.4,Red Hill,"Thriller,Western",21100.0,300000.0,321100.0
8805,tt1536044,5.7,Paranormal Activity 2,Horror,84800000.0,92800000.0,177600000.0
8811,tt1542344,7.6,127 Hours,"Adventure,Biography,Drama",18300000.0,42400000.0,60700000.0
8823,tt1571234,6.1,Mortal Engines,"Action,Adventure,Fantasy",16000000.0,67700000.0,83700000.0
8850,tt1606389,6.8,The Vow,"Drama,Romance",125000000.0,71100000.0,196100000.0
8935,tt1711525,5.8,Office Christmas Party,Comedy,54800000.0,59700000.0,114500000.0
8998,tt1778304,5.8,Paranormal Activity 3,"Horror,Mystery,Thriller",104000000.0,103000000.0,207000000.0
9000,tt1783264,6.0,Elysium,Drama,93100000.0,193100000.0,286200000.0
9032,tt1825683,7.3,Black Panther,"Action,Adventure,Sci-Fi",700100000.0,646900000.0,1347000000.0
9033,tt1825978,6.8,The Artist,Thriller,44700000.0,88800000.0,133500000.0
9038,tt1828959,5.7,Make Your Move,"Drama,Musical,Romance",125000.0,1300000.0,1425000.0
9086,tt3707106,5.3,By the Sea,"Drama,Romance",538000.0,2800000.0,3338000.0
9136,tt3827494,7.2,The Monk,Drama,13500.0,794000.0,807500.0
9148,tt3850214,7.2,Dope,"Comedy,Crime,Drama",17500000.0,480000.0,17980000.0
9152,tt3874544,6.3,The Boss Baby,"Adventure,Animation,Comedy",175000000.0,353000000.0,528000000.0
9265,tt4276820,7.2,The Founder,"Biography,Drama,History",12800000.0,11300000.0,24100000.0
9285,tt4411504,7.0,El Clan,"Biography,Crime,Drama",201000.0,20200000.0,20401000.0
