,title,domestic_gross,foreign_gross,total_gross
514,Trespass (2011),24100.0,9600000.0,9624100.0
515,Saving Private Perez,1400000.0,7900000.0,9300000.0
516,Point Blank,708000.0,8500000.0,9208000.0
517,Winter in Wartime,543000.0,8700000.0,9243000.0
518,Barney's Version (U.S. only),4400000.0,4000000.0,8400000.0
519,Outrage (2011),44700.0,8400000.0,8444700.0
520,Senna,1600000.0,6600000.0,8200000.0
521,Last Night,99000.0,7600000.0,7699000.0
522,The Big Year,7200000.0,244000.0,7444000.0
523,The Beaver,971000.0,6300000.0,7271000.0
526,The Princess of Montpensier,352000.0,6400000.0,6752000.0
527,Cave of Forgotten Dreams,5300000.0,1200000.0,6500000.0
528,Sex and Zen 3D: Extreme Ecstasy,153000.0,6200000.0,6353000.0
529,We Need to Talk About Kevin,1700000.0,4300000.0,6000000.0
530,Attack the Block,1000000.0,4800000.0,5800000.0
531,Even the Rain,518000.0,5300000.0,5818000.0
532,Young Goethe in Love,162000.0,5600000.0,5762000.0
533,11-11-11,32800.0,5700000.0,5732800.0
534,Certified Copy,1400000.0,4099999.0,5499999.0
535,Thank You (2011),464000.0,5000000.0,5464000.0
536,The Company Men,4400000.0,441000.0,4841000.0
538,Tucker & Dale Vs. Evil,224000.0,4500000.0,4724000.0
539,London Boulevard,16100.0,4600000.0,4616100.0
540,Dylan Dog: Dead of Night,1200000.0,3400000.0,4600000.0
541,The Names of Love,514000.0,4099999.0,4613999.0
543,Burke and Hare,4800.0,4300000.0,4304800.0
544,King of Devil's Island,7600.0,4200000.0,4207600.0
545,Bride Flight,501000.0,3700000.0,4201000.0
546,Trollhunter,253000.0,3900000.0,4153000.0
548,Carancho,85500.0,3900000.0,3985500.0
549,Like Crazy,3400000.0,336000.0,3736000.0
550,The Double,138000.0,3600000.0,3738000.0
552,Love Crime,540000.0,3100000.0,3640000.0
553,Incendies (U.S. only),2100000.0,1500000.0,3600000.0
554,Martha Marcy May Marlene,3000000.0,548000.0,3548000.0
555,Fireflies in the Garden,70600.0,3300000.0,3370600.0
557,Machine Gun Preacher,539000.0,2800000.0,3339000.0
558,The Last Circus,40500.0,3200000.0,3240500.0
559,From Prada to Nada,3000000.0,123000.0,3123000.0
560,Flypaper,5000.0,3100000.0,3105000.0
562,Take Shelter,1700000.0,1400000.0,3100000.0
563,The Greatest Miracle,555000.0,2500000.0,3055000.0
564,Rapt,45800.0,2900000.0,2945800.0
565,Pastorela,161000.0,2700000.0,2861000.0
566,The Double Hour,1500000.0,1200000.0,2700000.0
568,3 (2011),60000.0,2600000.0,2660000.0
569,Oranges and Sunshine,143000.0,2400000.0,2543000.0
570,Ong Bak 3,14900.0,2300000.0,2314900.0
571,Poetry,356000.0,1900000.0,2256000.0
572,The Tree,71200.0,2100000.0,2171200.0
573,"The Butcher, the Chef and the Swordsman",47900.0,2000000.0,2047900.0
575,Armadillo,14600.0,2000000.0,2014600.0
577,Brighton Rock,230000.0,1600000.0,1830000.0
578,A Somewhat Gentle Man,37700.0,1800000.0,1837700.0
579,The Topp Twins: Untouchable Girls,29300.0,1800000.0,1829300.0
580,Another Earth,1300000.0,456000.0,1756000.0
582,Chalet Girl,1700.0,1700000.0,1701700.0
583,Yamla Pagla Deewana,993000.0,600000.0,1593000.0
587,Uncle Boonmee Who Can Recall His Past Lives,184000.0,946000.0,1130000.0
590,London River,7200.0,1100000.0,1107200.0
592,When We Leave (Die Fremde),19600.0,1100000.0,1119600.0
594,Vanishing on 7th Street,22700.0,1000000.0,1022700.0
596,The Time That Remains,32900.0,1000000.0,1032900.0
599,Texas Killing Fields,45500.0,912000.0,957500.0
601,Miral,373000.0,527000.0,900000.0
602,Submarine,468000.0,397000.0,865000.0
604,Mozart's Sister,708000.0,132000.0,840000.0
605,Plastic Planet,3200.0,836000.0,839200.0
606,Chillar Party,6300.0,826000.0,832300.0
608,The First Grader,332000.0,382000.0,714000.0
611,Dhobi Ghat (Mumbai Diaries),577000.0,102000.0,679000.0
614,No One Killed Jessica,441000.0,193000.0,634000.0
615,Korkoro,8200.0,619000.0,627200.0
616,Blackthorn,201000.0,423000.0,624000.0
617,How I Ended This Summer,8700.0,614000.0,622700.0
618,The Ledge,9200.0,602000.0,611200.0
619,Heartbeats,68700.0,520000.0,588700.0
623,Kaboom,119000.0,421000.0,540000.0
626,Protektor,3000.0,469000.0,472000.0
628,The Other Woman,25400.0,427000.0,452400.0
630,Rage (Rabia),5600.0,403000.0,408600.0
631,The Human Resources Manager,64000.0,329000.0,393000.0
633,7 Khoon Maaf,270000.0,94700.0,364700.0
634,Another Happy Day,8500.0,347000.0,355500.0
636,The Mill and the Cross,312000.0,30300.0,342300.0
641,Special Treatment,8900.0,286000.0,294900.0
642,Illegal (2011),700.0,289000.0,289700.0
646,Black Death,22600.0,243000.0,265600.0
647,Le Quattro Volte,153000.0,103000.0,256000.0
649,Caterpillar,4200.0,248000.0,252200.0
650,Little Girl (La Pivellina),1400.0,236000.0,237400.0
652,"If I Want to Whistle, I Whistle",12100.0,220000.0,232100.0
655,The Robber,83500.0,125000.0,208500.0
656,Henry's Crime,103000.0,102000.0,205000.0
658,Film Socialisme,33000.0,159000.0,192000.0
660,Leap Year (2011),13000.0,175000.0,188000.0
661,A Screaming Man,9900.0,175000.0,184900.0
663,Nostalgia for the Light,164000.0,13700.0,177700.0
664,Anchor Baby,15800.0,161000.0,176800.0
667,Road to Nowhere,40300.0,121000.0,161300.0
677,Octubre,32100.0,96700.0,128800.0
678,The Arbor,21600.0,105000.0,126600.0
679,Mysteries of Lisbon,111000.0,14900.0,125900.0
680,Vidal Sassoon: The Movie,86000.0,38600.0,124600.0
690,"Tuesday, After Christmas",27800.0,36200.0,64000.0
705,Brotherhood (2011),19700.0,12700.0,32400.0
711,I'm Glad My Mother is Alive,8700.0,13200.0,21900.0
715,Aurora,5700.0,5100.0,10800.0
721,To Die Like a Man,4000.0,900.0,4900.0
727,Marvel's The Avengers,623400000.0,895500000.0,1518900000.0
728,Skyfall,304400000.0,804200000.0,1108600000.0
729,The Dark Knight Rises,448100000.0,636800000.0,1084900000.0
730,The Hobbit: An Unexpected Journey,303000000.0,718100000.0,1021100000.0
731,Ice Age: Continental Drift,161300000.0,715900000.0,877200000.0
732,The Twilight Saga: Breaking Dawn Part 2,292300000.0,537400000.0,829700000.0
733,The Amazing Spider-Man,262000000.0,495900000.0,757900000.0
734,Madagascar 3: Europe's Most Wanted,216400000.0,530500000.0,746900000.0
735,The Hunger Games,408000000.0,286400000.0,694400000.0
736,MIB 3,179000000.0,445000000.0,624000000.0
737,Life of Pi,125000000.0,484000000.0,609000000.0
738,Ted,218800000.0,330600000.0,549400000.0
739,Brave,237300000.0,303200000.0,540500000.0
740,Wreck-It Ralph,189400000.0,281800000.0,471200000.0
741,Les Miserables (2012),148800000.0,293000000.0,441800000.0
742,The Intouchables (U.S.-only),10200000.0,416400000.0,426600000.0
743,Django Unchained,162800000.0,262600000.0,425400000.0
744,Prometheus,126500000.0,276900000.0,403400000.0
745,Snow White and the Huntsman,155300000.0,241300000.0,396600000.0
746,Taken 2,139900000.0,236300000.0,376200000.0
747,Hotel Transylvania,148300000.0,210100000.0,358400000.0
748,Dr. Seuss' The Lorax,214000000.0,134800000.0,348800000.0
749,Titanic 3D,57900000.0,285700000.0,343600000.0
750,Journey 2: The Mysterious Island,103900000.0,231400000.0,335300000.0
751,The Expendables 2,85000000.0,229900000.0,314900000.0
752,Rise of the Guardians,103400000.0,203500000.0,306900000.0
753,Wrath of the Titans,83700000.0,221600000.0,305300000.0
754,Battleship,65400000.0,237600000.0,303000000.0
755,John Carter,73100000.0,211100000.0,284200000.0
756,The Bourne Legacy,113200000.0,162900000.0,276100000.0
757,Lincoln,182200000.0,93100000.0,275300000.0
758,Dark Shadows,79700000.0,165800000.0,245500000.0
759,Resident Evil: Retribution,42300000.0,197700000.0,240000000.0
760,Silver Linings Playbook,132100000.0,104300000.0,236400000.0
761,American Reunion,57000000.0,178000000.0,235000000.0
762,Argo,136000000.0,96300000.0,232300000.0
763,Jack Reacher,80100000.0,138300000.0,218400000.0
764,Safe House,126400000.0,81700000.0,208100000.0
765,21 Jump Street,138400000.0,63100000.0,201500000.0
766,Total Recall (2012),58900000.0,139600000.0,198500000.0
767,The Vow,125000000.0,71100000.0,196100000.0
768,Mirror Mirror,64900000.0,118100000.0,183000000.0
769,The Impossible,19000000.0,161300000.0,180300000.0
770,The Dictator,59700000.0,119700000.0,179400000.0
771,Looper,66500000.0,110000000.0,176500000.0
772,Magic Mike,113700000.0,53500000.0,167200000.0
773,Flight,93800000.0,68000000.0,161800000.0
774,Underworld Awakening,62300000.0,97800000.0,160100000.0
775,This Means War,54800000.0,101700000.0,156500000.0
776,The Secret World of Arrietty,19200000.0,126400000.0,145600000.0
777,Paranormal Activity 4,53900000.0,88900000.0,142800000.0
778,Step Up Revolution,35100000.0,105400000.0,140500000.0
779,The Best Exotic Marigold Hotel,46400000.0,90400000.0,136800000.0
780,Zero Dark Thirty,95700000.0,37100000.0,132800000.0
781,Ghost Rider: Spirit of Vengeance,51800000.0,80800000.0,132600000.0
782,Cloud Atlas,27100000.0,103400000.0,130500000.0
783,The Woman in Black,54300000.0,73400000.0,127700000.0
784,Chronicle (2012),64599999.0,62100000.0,126699999.0
785,The Pirates! Band of Misfits,31100000.0,92000000.0,123100000.0
786,Parental Guidance,77300000.0,42500000.0,119800000.0
787,Abraham Lincoln: Vampire Hunter,37500000.0,79000000.0,116500000.0
788,Pitch Perfect,65000000.0,50300000.0,115300000.0
789,Hope Springs,63500000.0,50700000.0,114200000.0
790,ParaNorman,56000000.0,51100000.0,107100000.0
791,The Campaign,86900000.0,18000000.0,104900000.0
792,Let the Bullets Fly,63000.0,104300000.0,104363000.0
793,Star Wars: Episode I - The Phantom Menace (in 3D),43500000.0,59300000.0,102800000.0
794,Project X,54700000.0,48000000.0,102700000.0
795,The Devil Inside,53300000.0,48500000.0,101800000.0
796,The Lucky One,60500000.0,38900000.0,99400000.0
797,Contraband,66500000.0,29700000.0,96200000.0
798,Think Like a Man,91500000.0,4500000.0,96000000.0
799,This Is 40,67500000.0,20500000.0,88000000.0
800,The Inbetweeners Movie,36000.0,88000000.0,88036000.0
801,The Possession,49100000.0,36300000.0,85400000.0
802,What to Expect When You're Expecting,41200000.0,43200000.0,84400000.0
803,The Thieves,686000.0,82800000.0,83486000.0
804,Savages (2012),47400000.0,35600000.0,83000000.0
805,Frankenweenie,35300000.0,46200000.0,81500000.0
806,Act of Valor,70000000.0,11300000.0,81300000.0
807,Masquerade (2012),923000.0,79800000.0,80723000.0
808,Sinister,48100000.0,29600000.0,77700000.0
809,The Grey,51600000.0,25700000.0,77300000.0
810,Diary of a Wimpy Kid: Dog Days,49000000.0,28100000.0,77100000.0
811,To Rome with Love,16700000.0,56600000.0,73300000.0
812,Here Comes the Boom,45300000.0,27800000.0,73100000.0
813,Finding Nemo (3D),41100000.0,28200000.0,69300000.0
814,Anna Karenina,12800000.0,56100000.0,68900000.0
815,The Watch,35400000.0,32900000.0,68300000.0
816,Moonrise Kingdom,45500000.0,22800000.0,68300000.0
817,Tyler Perry's Madea's Witness Protection,65700000.0,1200000.0,66900000.0
818,The Cabin in the Woods,42100000.0,24400000.0,66500000.0
819,Beauty and the Beast (3D),47600000.0,14400000.0,62000000.0
820,Rock of Ages,38500000.0,20900000.0,59400000.0
821,That's My Boy,36900000.0,20800000.0,57700000.0
822,The Odd Life of Timothy Green,51900000.0,4200000.0,56100000.0
823,The Three Stooges,44300000.0,10500000.0,54800000.0
824,The Five-Year Engagement,28800000.0,25100000.0,53900000.0
825,Lawless,37400000.0,16300000.0,53700000.0
826,Silent Hill: Revelation 3D,17500000.0,34800000.0,52300000.0
827,Red Tails,49900000.0,489000.0,50389000.0
828,"Monsters, Inc. (3D)",34000000.0,16200000.0,50200000.0
829,Trouble with the Curve,35800000.0,13200000.0,49000000.0
830,Little White Lies,206000.0,48300000.0,48506000.0
831,End of Watch,41000000.0,7100000.0,48100000.0
832,Man on a Ledge,18600000.0,27600000.0,46200000.0
834,House at the End of The Street,31600000.0,12700000.0,44300000.0
835,The Guilt Trip,37100000.0,4700000.0,41800000.0
836,A Werewolf Boy,343000.0,41300000.0,41643000.0
837,Safe (2012),17100000.0,23200000.0,40300000.0
838,Killing Them Softly,15000000.0,22900000.0,37900000.0
839,Chernobyl Diaries,18100000.0,19000000.0,37100000.0
840,One For the Money,26400000.0,10500000.0,36900000.0
841,Dredd,13400000.0,22200000.0,35600000.0
842,Tyler Perry's Good Deeds,35000000.0,553000.0,35553000.0
843,Arbitrage,7900000.0,27600000.0,35500000.0
844,Chimpanzee,29000000.0,5900000.0,34900000.0
845,Alex Cross,25900000.0,8700000.0,34600000.0
846,Salmon Fishing in the Yemen,9000000.0,25500000.0,34500000.0
847,Fetih 1453: The Conquest of Constantinople,35700.0,34400000.0,34435700.0
848,Cirque Du Soleil: Worlds Away,12500000.0,21600000.0,34100000.0
849,The Perks of Being a Wallflower,17700000.0,15600000.0,33300000.0
850,Haywire,18900000.0,14400000.0,33300000.0
851,Katy Perry: Part of Me,25300000.0,7400000.0,32700000.0
852,Lockout,14300000.0,17900000.0,32200000.0
853,Joyful Noise,30900000.0,226000.0,31126000.0
854,Premium Rush,20300000.0,10800000.0,31100000.0
855,The Raven,16000000.0,13600000.0,29600000.0
856,Rowdy Rathore,777000.0,28600000.0,29377000.0
857,Dragon (2012),11100.0,29100000.0,29111100.0
858,Bol Bachchan,1200000.0,27600000.0,28800000.0
859,The Master,16399999.0,11900000.0,28299999.0
860,Rust and Bone,2100000.0,23700000.0,25800000.0
861,Big Miracle,20200000.0,4600000.0,24800000.0
862,Sparkle (2012),24400000.0,240000.0,24640000.0
863,To the Arctic (IMAX),14600000.0,9100000.0,23700000.0
864,Hitchcock,6000000.0,17600000.0,23600000.0
865,A Thousand Words,18500000.0,3600000.0,22100000.0
866,Wanderlust,17500000.0,4200000.0,21700000.0
867,Beasts of the Southern Wild,12800000.0,8300000.0,21100000.0
868,Polisse,211000.0,20200000.0,20411000.0
869,Amour,6700000.0,13100000.0,19800000.0
870,The Man with the Iron Fists,15600000.0,4099999.0,19699999.0
872,Seven Psychopaths,15000000.0,4400000.0,19400000.0
873,Gone,11700000.0,6400000.0,18100000.0
874,Norwegian Wood,13000.0,17600000.0,17613000.0
875,The Cold Light of Day,3800000.0,13100000.0,16900000.0
876,My Way (2012),70200.0,16500000.0,16570200.0
877,Tomorrow When the War Began,4900.0,16500000.0,16504900.0
878,We Have a Pope,548000.0,15600000.0,16148000.0
879,Headhunters,1200000.0,14500000.0,15700000.0
880,Hit and Run,13700000.0,704000.0,14404000.0
881,War of the Buttons (2012),47800.0,13800000.0,13847800.0
882,Red Lights (2012),52600.0,13500000.0,13552600.0
883,The Words,11500000.0,1700000.0,13200000.0
885,Silent House,12800000.0,347000.0,13147000.0
886,Friends with Kids,7300000.0,5800000.0,13100000.0
887,The Well-Digger's Daughter,386000.0,12200000.0,12586000.0
888,Klown,68800.0,12400000.0,12468800.0
890,Seeking Justice,412000.0,11900000.0,12312000.0
891,Bachelorette,448000.0,11500000.0,11948000.0
892,This Must Be the Place,144000.0,11600000.0,11744000.0
893,Fun Size,9400000.0,2000000.0,11400000.0
894,Rec 3: Genesis,9600.0,10100000.0,10109600.0
895,Delicacy,499000.0,9200000.0,9699000.0
896,Seeking a Friend for the End of the World,7100000.0,2600000.0,9700000.0
897,The Apparition,4900000.0,4700000.0,9600000.0
898,For Greater Glory,5700000.0,4000000.0,9700000.0
899,Hysteria,1800000.0,7700000.0,9500000.0
901,The Sessions,6000000.0,3100000.0,9100000.0
902,Ruby Sparks,2500000.0,6600000.0,9100000.0
903,Hyde Park on Hudson,6400000.0,2500000.0,8900000.0
904,On the Road,744000.0,8000000.0,8744000.0
905,Boy (2012),256000.0,8400000.0,8656000.0
906,Piranha 3DD,377000.0,8100000.0,8477000.0
907,Easy Money (2012),206000.0,8199999.0,8405999.0
908,Space Dogs 3D,14400.0,8300000.0,8314400.0
909,Bel Ami,120000.0,8199999.0,8319999.0
910,Promised Land (2012),7600000.0,541000.0,8141000.0
911,Iron Sky,122000.0,8000000.0,8122000.0
912,Casa De Mi Padre,5900000.0,2100000.0,8000000.0
913,Heroine,599000.0,7400000.0,7999000.0
914,A Royal Affair,1500000.0,6000000.0,7500000.0
915,All Together,43200.0,7200000.0,7243200.0
916,My Worst Nightmare,22000.0,7100000.0,7122000.0
918,Monsieur Lazhar (U.S.-only),2000000.0,4600000.0,6600000.0
919,Goon,4200000.0,2300000.0,6500000.0
920,Cosmopolis,764000.0,5300000.0,6064000.0
921,Chasing Mavericks,6000000.0,600.0,6000600.0
922,Declaration of War,59100.0,5800000.0,5859100.0
923,Puella Magi Madoka Magica the Movie,180000.0,5600000.0,5780000.0
924,Albert Nobbs,3000000.0,2600000.0,5600000.0
925,In Darkness,1000000.0,4500000.0,5500000.0
927,Farewell My Queen,1600000.0,3700000.0,5300000.0
929,Girl in Progress,2600000.0,2000000.0,4600000.0
930,"Jeff, Who Lives at Home",4300000.0,148000.0,4448000.0
931,Barbara,1000000.0,3100000.0,4100000.0
935,Nitro Circus the Movie 3D,3400000.0,526000.0,3926000.0
937,The Lady,355000.0,3400000.0,3755000.0
938,Branded,354000.0,3400000.0,3754000.0
939,The Rabbi's Cat,23400.0,3700000.0,3723400.0
941,Killer Joe,2000000.0,1700000.0,3700000.0
942,Hara-Kiri: Death of a Samurai,75700.0,3400000.0,3475700.0
947,Intruders,69100.0,2900000.0,2969100.0
950,A Simple Life,192000.0,2600000.0,2792000.0
952,Simon and the Oaks,151000.0,2400000.0,2551000.0
955,Kid With a Bike,1500000.0,1000000.0,2500000.0
958,Chico & Rita,351000.0,1900000.0,2251000.0
959,Stolen (2012),304000.0,1800000.0,2104000.0
961,The Imposter,898000.0,1100000.0,1998000.0
963,The Day I Saw Your Heart,3500.0,2000000.0,2003500.0
967,Tales of the Night,11000.0,1700000.0,1711000.0
968,Beloved (2012),138000.0,1500000.0,1638000.0
969,360,100000.0,1600000.0,1700000.0
970,2 Days in New York,633000.0,1000000.0,1633000.0
972,Hermano,29900.0,1600000.0,1629900.0
973,Lay the Favorite,21000.0,1600000.0,1621000.0
974,Soldiers of Fortune,38900.0,1500000.0,1538900.0
976,I Wish,146000.0,1400000.0,1546000.0
977,The Salt of Life,317000.0,1200000.0,1517000.0
978,Chicken with Plums,254000.0,1200000.0,1454000.0
980,The Paperboy,693000.0,661000.0,1354000.0
982,Unforgivable,154000.0,1200000.0,1354000.0
983,A Little Bit of Heaven,15400.0,1300000.0,1315400.0
985,Meerkats,778000.0,482000.0,1260000.0
989,Once Upon a Time in Anatolia,152000.0,1000000.0,1152000.0
992,Coriolanus,757000.0,315000.0,1072000.0
997,Elles,158000.0,754000.0,912000.0
998,W.E.,583000.0,285000.0,868000.0
999,Breathing,4600.0,803000.0,807600.0
1007,Free Men,53800.0,564000.0,617800.0
1010,Sister (2012),155000.0,400000.0,555000.0
1015,Bully (2012),279000.0,182000.0,461000.0
1018,Apartment 143,400.0,426000.0,426400.0
1022,Universal Soldier: Day of Reckoning,5500.0,364000.0,369500.0
1041,17 Girls,15100.0,186000.0,201100.0
1046,Butter,105000.0,70700.0,175700.0
1047,Kill List,29100.0,143000.0,172100.0
1059,Toys in the Attic,64900.0,61600.0,126500.0
1074,Wagner & Me,37700.0,41000.0,78700.0
1080,Attenberg,24000.0,45900.0,69900.0
1088,North Sea Texas,28300.0,16700.0,45000.0
1110,Cirkus Columbia,3500.0,9500.0,13000.0
1127,Frozen,400700000.0,875700000.0,1276400000.0
1128,Iron Man 3,409000000.0,805800000.0,1214800000.0
1129,Despicable Me 2,368100000.0,602700000.0,970800000.0
1130,The Hobbit: The Desolation of Smaug,258399999.0,700000000.0,958399999.0
1131,The Hunger Games: Catching Fire,424700000.0,440300000.0,865000000.0
1132,Fast & Furious 6,238700000.0,550000000.0,788700000.0
1133,Monsters University,268500000.0,475700000.0,744200000.0
1134,Gravity,274100000.0,449100000.0,723200000.0
1135,Man of Steel,291000000.0,377000000.0,668000000.0
1136,Thor: The Dark World,206400000.0,438200000.0,644600000.0
1137,The Croods,187200000.0,400000000.0,587200000.0
1138,World War Z,202400000.0,337600000.0,540000000.0
1139,Oz The Great and Powerful,234900000.0,258399999.0,493299999.0
1140,Star Trek Into Darkness,228800000.0,238600000.0,467400000.0
1141,The Wolverine,132600000.0,282300000.0,414900000.0
1142,Pacific Rim,101800000.0,309200000.0,411000000.0
1143,The Wolf of Wall Street,116900000.0,275100000.0,392000000.0
1144,G.I. Joe: Retaliation,122500000.0,253200000.0,375700000.0
1145,The Hangover Part III,112200000.0,249800000.0,362000000.0
1146,The Great Gatsby (2013),144800000.0,208800000.0,353600000.0
1147,Now You See Me,117700000.0,234000000.0,351700000.0
1148,The Smurfs 2,71000000.0,276500000.0,347500000.0
1149,The Conjuring,137400000.0,182100000.0,319500000.0
1150,A Good Day to Die Hard,67300000.0,237300000.0,304600000.0
1151,Oblivion,89100000.0,197100000.0,286200000.0
1152,Elysium,93100000.0,193100000.0,286200000.0
1153,Turbo,83000000.0,199500000.0,282500000.0
1154,Cloudy with a Chance of Meatballs 2,119800000.0,154500000.0,274300000.0
1155,We're the Millers,150400000.0,119600000.0,270000000.0
1156,Epic,107500000.0,160900000.0,268400000.0
1157,The Lone Ranger,89300000.0,171200000.0,260500000.0
1158,American Hustle,150100000.0,101100000.0,251200000.0
1159,Grown Ups 2,133699999.0,113300000.0,246999999.0
1160,After Earth,60500000.0,183300000.0,243800000.0
1161,Planes,90300000.0,149000000.0,239300000.0
1162,The Heat,159600000.0,70300000.0,229900000.0
1163,Hansel and Gretel: Witch Hunters,55700000.0,170600000.0,226300000.0
1164,Captain Phillips,107100000.0,111700000.0,218800000.0
1165,White House Down,73100000.0,132300000.0,205400000.0
1166,Percy Jackson: Sea of Monsters,68600000.0,131300000.0,199900000.0
1167,Lost in Thailand,57400.0,197700000.0,197757400.0
1168,Jack the Giant Slayer,65200000.0,132500000.0,197700000.0
1169,The Secret Life of Walter Mitty,58200000.0,129900000.0,188100000.0
1170,12 Years a Slave,56700000.0,131100000.0,187800000.0
1171,Lee Daniels' The Butler,116600000.0,60000000.0,176600000.0
1172,Identity Thief,134500000.0,39500000.0,174000000.0
1173,Anchorman 2: The Legend Continues,125200000.0,46300000.0,171500000.0
1174,Olympus Has Fallen,98900000.0,71300000.0,170200000.0
1175,Insidious Chapter 2,83600000.0,78300000.0,161900000.0
1176,Lone Survivor,125100000.0,29700000.0,154800000.0
1177,Jackass Presents: Bad Grandpa,102000000.0,49800000.0,151800000.0
1178,47 Ronin,38400000.0,113400000.0,151800000.0
1179,Red 2,53300000.0,94800000.0,148100000.0
1180,Mama,71600000.0,74800000.0,146400000.0
1181,Escape Plan,25100000.0,112200000.0,137300000.0
1182,Last Vegas,63900000.0,70500000.0,134400000.0
1183,2 Guns,75600000.0,56300000.0,131900000.0
1184,Walking with Dinosaurs,36100000.0,90500000.0,126600000.0
1185,This is the End,101500000.0,24600000.0,126100000.0
1186,Ender's Game,61700000.0,63800000.0,125500000.0
1187,Prisoners,61000000.0,61100000.0,122100000.0
1188,Saving Mr. Banks,83300000.0,34600000.0,117900000.0
1189,Warm Bodies,66400000.0,50600000.0,117000000.0
1190,Jurassic Park 3D,45400000.0,71100000.0,116500000.0
1191,Personal Tailor,376000.0,115800000.0,116176000.0
1192,Free Birds,55800000.0,54600000.0,110400000.0
1193,Gangster Squad,46000000.0,59200000.0,105200000.0
1194,Philomena,37700000.0,62400000.0,100100000.0
1195,Instructions Not Included,44500000.0,54600000.0,99100000.0
1196,Riddick,42000000.0,56300000.0,98300000.0
1197,Safe Haven,71300000.0,26200000.0,97500000.0
1198,Evil Dead (2013),54200000.0,43300000.0,97500000.0
1199,Blue Jasmine,33400000.0,64099999.0,97499999.0
1200,The Mortal Instruments: City of Bones,31200000.0,64200000.0,95400000.0
1201,The Internship,44700000.0,48800000.0,93500000.0
1202,Rush (2013),26900000.0,63300000.0,90200000.0
1203,The Purge,64500000.0,24900000.0,89400000.0
1204,Dhoom 3,8000000.0,80000000.0,88000000.0
1205,About Time,15300000.0,71800000.0,87100000.0
1206,Pain and Gain,49900000.0,36300000.0,86200000.0
1207,Carrie (2013),35300000.0,49500000.0,84800000.0
1208,The Family (2013),36900000.0,41500000.0,78400000.0
1209,Scary Movie 5,32000000.0,46400000.0,78400000.0
1210,R.I.P.D.,33600000.0,44700000.0,78300000.0
1211,Tiny Times,23500.0,77700000.0,77723500.0
1212,The Book Thief,21500000.0,55100000.0,76600000.0
1213,Escape From Planet Earth,57000000.0,17600000.0,74600000.0
1214,August: Osage County,37700000.0,36500000.0,74200000.0
1215,The Best Man Holiday,70500000.0,2300000.0,72800000.0
1216,Young Detective Dee: Rise of the Sea Dragon,87800.0,72200000.0,72287800.0
1217,The Counselor,17000000.0,54000000.0,71000000.0
1218,The Call,51900000.0,16700000.0,68600000.0
1219,One Direction: This is Us,28900000.0,39700000.0,68600000.0
1220,The Grandmaster,6600000.0,57500000.0,64100000.0
1221,Side Effects (2013),32200000.0,31200000.0,63400000.0
1222,The Host (2013),26600000.0,36700000.0,63300000.0
1223,Runner Runner,19300000.0,43400000.0,62700000.0
1224,From Up on Poppy Hill,1000000.0,60000000.0,61000000.0
1225,Kick-Ass 2,28800000.0,32000000.0,60800000.0
1226,A Haunted House,40000000.0,20100000.0,60100000.0
1227,Beautiful Creatures (2013),19500000.0,40600000.0,60100000.0
1228,Quartet,18400000.0,41100000.0,59500000.0
1229,Dallas Buyers Club,27300000.0,27900000.0,55200000.0
1230,The Face Reader,516000.0,54100000.0,54616000.0
1231,Tyler Perry's A Madea Christmas,52500000.0,853000.0,53353000.0
1232,Tyler Perry's Temptation: Confessions of a Marriage Counselor,52000000.0,1200000.0,53200000.0
1233,Delivery Man,30700000.0,19300000.0,50000000.0
1234,The Berlin File,665000.0,48300000.0,48965000.0
1235,The Last Stand,12100000.0,36300000.0,48400000.0
1236,21 and Over,25700000.0,22400000.0,48100000.0
1237,Her (2013),25600000.0,21800000.0,47400000.0
1238,Tiny Times 2,43800.0,47200000.0,47243800.0
1239,Texas Chainsaw 3D,34300000.0,12900000.0,47200000.0
1240,The Big Wedding,21800000.0,24700000.0,46500000.0
1241,Parker,17600000.0,28600000.0,46200000.0
1242,The World's End,26000000.0,20100000.0,46100000.0
1243,Grudge Match,29800000.0,15100000.0,44900000.0
1244,Homefront,20200000.0,22900000.0,43100000.0
1246,Jobs,16100000.0,19800000.0,35900000.0
1247,The Place Beyond the Pines,21400000.0,14100000.0,35500000.0
1248,Inside Llewyn Davis,13200000.0,19700000.0,32900000.0
1249,Mud,21600000.0,11000000.0,32600000.0
1250,Movie 43,8800000.0,23600000.0,32400000.0
1251,Kevin Hart: Let Me Explain,32200000.0,74000.0,32274000.0
1252,Spring Breakers,14100000.0,17600000.0,31700000.0
1253,New World (2013),458000.0,31200000.0,31658000.0
1254,Don Jon,24500000.0,6000000.0,30500000.0
1255,I Give It a Year,34700.0,28200000.0,28234700.0
1256,Nebraska,17700000.0,10000000.0,27700000.0
1257,The Incredible Burt Wonderstone,22500000.0,4900000.0,27400000.0
1258,Mandela: Long Walk to Freedom,8300000.0,19000000.0,27300000.0
1259,Khumba,1000.0,27200000.0,27201000.0
1260,Dark Skies,17400000.0,9000000.0,26400000.0
1261,Enough Said,17600000.0,7700000.0,25300000.0
1262,Trance,2300000.0,21900000.0,24200000.0
1263,"The Way, Way Back",21500000.0,1700000.0,23200000.0
1264,Kon-Tiki,1500000.0,21300000.0,22800000.0
1265,Baggage Claim,21600000.0,887000.0,22487000.0
