,Unnamed: 0,id,original_language,popularity,title,rating
119,119,40080,en,10.303,The Cutting Edge: Fire & Ice,6.0
120,120,830,en,10.274,Forbidden Planet,7.3
121,121,34134,en,10.252,Barbie in A Mermaid Tale,6.7
122,122,14756,cn,10.23,Ip Man,7.7
123,123,37821,en,10.221,Killers,5.8
124,124,38303,en,10.208,You Again,6.2
125,125,44040,en,10.203,Devil,5.9
126,126,34813,en,10.202,The Losers,6.2
127,127,44629,en,10.188,Animal Kingdom,6.8
128,128,33909,en,10.177,Wall Street: Money Never Sleeps,6.0
129,129,43933,en,10.175,Monsters,6.2
130,130,23048,en,10.15,Hot Tub Time Machine,6.0
131,131,14447,en,10.1,A Matter of Loaf and Death,7.2
132,132,43347,en,10.09,Love & Other Drugs,6.9
133,133,40205,en,10.068,16 Wishes,5.9
134,134,42188,en,10.012,Never Let Me Go,6.8
135,135,43923,en,10.01,It's Kind of a Funny Story,7.0
136,136,38167,en,9.991,Eat Pray Love,6.0
137,137,37786,en,9.986,Sex and the City 2,5.9
138,138,37495,en,9.968,Four Lions,7.0
139,139,13477,en,9.926,When in Rome,5.9
140,140,27573,en,9.861,The Bounty Hunter,5.7
141,141,39013,en,9.824,Winter's Bone,6.9
142,142,52338,en,9.819,Waiting for Forever,5.7
143,143,43931,en,9.808,My Soul to Take,5.4
144,144,23437,en,9.795,A Nightmare on Elm Street,5.5
145,145,43949,en,9.781,Flipped,7.4
146,146,41402,en,9.716,Let Me In,6.7
147,147,38199,en,9.693,Unthinkable,6.7
148,148,44363,en,9.678,Frozen,5.8
149,149,29564,en,9.565,Smokin' Aces 2: Assassins' Ball,5.4
150,150,34647,en,9.563,Enter the Void,7.3
151,151,55890,en,9.55,Bereavement,5.3
152,152,44639,en,9.514,Inside Job,7.8
153,153,101669,en,9.496,Mother's Day,6.4
154,154,7340,en,9.467,Carrie,7.1
155,155,37950,en,9.454,Charlie St. Cloud,6.9
156,156,35169,en,9.45,Furry Vengeance,4.6
157,157,45324,en,9.432,Casino Jack,6.1
158,158,35558,en,9.406,Starstruck,6.7
159,159,39285,en,9.405,Beauty & the Briefcase,5.5
160,160,36419,en,9.395,After.Life,5.7
161,161,44009,en,9.394,Another Year,7.0
162,162,37056,en,9.394,Letters to Juliet,6.9
163,163,27585,en,9.389,Rabbit Hole,6.8
164,164,44147,en,9.355,Wild Target,6.4
165,165,38358,en,9.35,The Last Exorcism,5.6
166,166,43549,en,9.261,The Experiment,6.5
167,167,50135,de,9.258,Animals United,5.4
168,168,26715,en,9.253,Bitch Slap,4.7
169,169,41211,fr,9.241,Heartbreaker,6.6
170,170,35690,en,9.237,The Last Song,7.2
171,171,48415,it,9.188,Welcome to the South,6.7
172,172,46838,en,9.159,Tucker and Dale vs. Evil,7.3
173,173,41515,en,9.096,Yogi Bear,5.3
174,174,38542,en,9.087,The Disappearance of Alice Creed,6.6
175,175,36950,en,9.071,You Don't Know Jack,7.0
176,176,39486,en,9.059,Secretariat,7.0
177,177,27579,en,9.042,The American,5.8
178,178,46705,en,8.994,Blue Valentine,6.9
179,179,40264,en,8.992,Vampires Suck,4.1
180,180,46738,fr,8.973,Incendies,8.1
181,181,22907,en,8.969,Takers,6.2
182,182,278604,en,8.956,"Family Guy Presents: Something, Something, Something, Dark Side",7.1
183,183,45162,en,8.884,Superman/Batman: Apocalypse,7.0
184,184,42684,en,8.847,Skyline,4.8
185,185,23742,en,8.82,Cop Out,5.4
186,186,28211,en,8.807,Chloe,5.9
187,187,52015,en,8.799,Stake Land,6.2
188,188,50618,ru,8.769,Fortress of War,7.3
189,189,59490,en,8.762,Cave of Forgotten Dreams,7.3
190,190,34480,en,8.741,The Descent: Part 2,6.0
191,191,44918,en,8.729,Titanic 2,3.2
192,192,31967,en,8.711,Dante's Inferno: An Animated Epic,6.0
