,movie_id,averagerating,original_title,genres
101,tt1521782,6.8,Exit: Una storia personale,Drama
102,tt1527710,7.7,Puppet,"Documentary,Drama"
103,tt1527723,7.3,Rocco vs Cleopatra,"Adventure,Comedy,Drama"
104,tt1527821,6.1,Heart String Marionette,"Action,Animation"
105,tt1528274,7.8,Brainwashed Love,"Comedy,Drama,Romance"
106,tt1534084,4.5,600 kilos d'or pur,Adventure
107,tt1535109,7.8,Captain Phillips,"Biography,Drama,Thriller"
108,tt1535491,7.0,Ui-hyeong-je,"Action,Drama"
109,tt1535611,6.8,In der Welt habt ihr Angst,Drama
110,tt1537385,8.0,Annabelle & Bear,Drama
111,tt1538545,5.8,Zot van A.,"Comedy,Romance"
112,tt1538833,7.2,Make Believe,Documentary
113,tt1538988,7.1,Retratos en un mar de mentiras,Drama
114,tt1539042,5.5,Slackistan,Drama
115,tt1539491,5.6,Bale Pandiya,Comedy
116,tt1540074,7.9,There Once was an Island: Te Henua e Nnoho,Documentary
117,tt1545489,4.9,The Flight of the Swan,Drama
118,tt1547032,7.0,Wright Street,"Drama,Mystery"
119,tt1549572,7.0,Another Earth,"Drama,Romance,Sci-Fi"
120,tt1555056,6.8,Living Downstream,Documentary
121,tt1555187,2.0,Campamento Flipy,Comedy
122,tt1558741,5.1,Comme les cinq doigts de la main,"Action,Drama,Thriller"
123,tt1559035,7.5,Festival of Lights,Drama
124,tt1560962,6.0,Killed on the Fourth of July,Horror
125,tt1562295,7.0,Ed Gein: The Musical,"Comedy,Horror,Musical"
126,tt1563121,3.7,Closets,"Horror,Thriller"
127,tt1564368,4.7,Aftermath,"Horror,Sci-Fi,Thriller"
128,tt1564870,5.6,Not Today,Drama
129,tt1569505,6.1,Suicide Club,"Adventure,Comedy,Drama"
130,tt1570962,5.8,A Nightmare in Las Cruces,Documentary
131,tt1571416,7.9,The Right to Love: An American Family,Documentary
132,tt1575538,8.2,Dust Radio: A Film About Chris Whitley,"Documentary,Drama"
133,tt1575695,6.9,The Human War,Drama
134,tt1580346,6.9,ReGeneration,"Action,Biography,Documentary"
135,tt1582507,5.6,House at the End of the Street,"Drama,Horror,Thriller"
136,tt1582546,7.4,Maryada Ramanna,"Action,Comedy"
137,tt1583743,7.3,Jews and Baseball: An American Love Story,"Biography,Documentary,History"
138,tt1584131,3.7,The Last Godfather,"Comedy,Crime,Romance"
139,tt1584146,3.4,Sol Invictus,Sci-Fi
140,tt1587107,4.0,18 rin aidoru wo sagase!,Comedy
141,tt1587699,7.0,The Extraordinary Ordinary Life of José González,"Documentary,Music"
142,tt1592528,5.9,The Future Is Now!,Drama
143,tt1592531,5.9,The Holy Roller,Drama
144,tt1593726,5.8,Love in Perth,"Drama,Romance"
145,tt1595379,7.4,The Lutefisk Wars,Comedy
146,tt1595637,2.4,Deadly Closure,"Action,Drama,Mystery"
147,tt1600197,3.0,Behind Your Eyes,"Horror,Thriller"
148,tt1603379,3.5,Shackled,"Horror,Thriller"
149,tt1604709,5.1,Straight & Butch,"Biography,Documentary"
150,tt1606215,5.6,Evolusi: KL Drift 2,"Action,Crime"
151,tt1606706,7.3,Barbershop Punk,"Documentary,News"
152,tt1608246,8.0,Therapissed,Comedy
153,tt1608290,4.7,Zoolander 2,Comedy
154,tt1608345,8.4,Bastards of Utopia,"Documentary,Drama"
155,tt1609150,5.4,Napoli 24,Documentary
156,tt1611878,7.8,Komoly dolgok,Drama
157,tt1612608,5.8,L'Italien,"Comedy,Drama"
158,tt1614963,8.1,El camino entre dos puntos,Drama
159,tt1615477,6.8,The Half-Life Horror from Hell or: Irradiated Satan Rocks the World!,"Comedy,Horror"
160,tt1615840,6.6,Sinyora Enrica ile Italyan Olmak,"Comedy,Drama"
161,tt1615902,5.4,Vacation!,"Comedy,Crime"
162,tt1618467,7.5,Booked Out,"Comedy,Drama,Romance"
163,tt1620785,7.1,"How Much Does Your Building Weigh, Mr Foster?","Biography,Documentary"
164,tt1624411,5.6,Ventanas al mar,Drama
165,tt1625155,7.4,Sangue do Meu Sangue,"Drama,Thriller"
166,tt1628022,7.8,Thunderlust (and the Middle Beast),"Comedy,Music"
167,tt1628043,5.4,Joint Body,"Crime,Thriller"
168,tt1629739,7.3,The Big Black,"Drama,Thriller"
169,tt1629757,7.2,Chasing Mavericks,"Biography,Drama,Sport"
170,tt1630311,4.8,Butterfly Crush,"Drama,Musical,Romance"
171,tt1630607,3.5,Nostrum,Horror
172,tt1633248,5.7,Staklenata reka,Drama
173,tt1633334,8.4,"Coals to Newcastle: The New Mastersounds, from Leeds to New Orleans","Documentary,Music"
174,tt1635429,5.7,Cherkess,Drama
175,tt1639427,6.3,Mai bakku pêji,Drama
176,tt1640219,2.8,Locked in a Room,"Horror,Thriller"
177,tt1640484,5.7,Jumping the Broom,"Comedy,Drama"
178,tt1642248,5.6,Killer Ink,Horror
179,tt1645141,5.8,Sironia,"Drama,Musical"
180,tt1647446,5.5,Cuccioli: Il codice di Marco Polo,"Adventure,Animation,Family"
181,tt1650516,3.4,Dead Genesis,"Action,Horror,Thriller"
182,tt1650533,7.4,Cultures of Resistance,Documentary
183,tt1651906,9.2,Mzungu (n.) White-Wanderer,"Adventure,Documentary,Drama"
184,tt1655416,6.2,Mental,"Comedy,Drama"
185,tt1655420,7.0,My Week with Marilyn,"Biography,Drama"
186,tt1659253,6.5,Thorne: Scaredycat,"Crime,Drama,Mystery"
187,tt1659343,5.1,Universal Soldier: Day of Reckoning,"Action,Horror,Mystery"
188,tt1660393,5.7,Man at Sea,Drama
189,tt1661420,7.3,Polisse,"Crime,Drama"
190,tt1662557,7.4,Yongseoneun eupda,"Action,Crime,Thriller"
191,tt1662615,7.0,A Falta Que Nos Move,Drama
192,tt1662634,7.2,Bentein men misr,Drama
193,tt1663202,8.0,The Revenant,"Action,Adventure,Biography"
194,tt1664837,8.3,Roger's Pass,"Comedy,Drama"
195,tt1665807,7.2,Le ombre degli angeli,Drama
196,tt1667417,3.7,Dirty Little Trick,"Crime,Thriller"
197,tt1668191,7.5,Av Mevsimi,"Crime,Drama,Mystery"
198,tt1671494,5.6,Un baiser papillon,Drama
199,tt1671509,6.8,The Darkest Corner of Paradise,"Drama,Thriller"
200,tt1671513,7.8,Four Horsemen,"Documentary,News"
201,tt1671714,7.1,Sangue e cemento,Documentary
202,tt1671728,8.5,Soka Afrika,"Biography,Documentary,News"
203,tt1673732,8.0,Break Clause,"Drama,Thriller"
204,tt1674746,6.6,Tumaini,Drama
205,tt1676132,7.7,Max Romer: Appalachian Justice,"Action,Comedy"
206,tt1678037,4.4,A Holiday Heist,"Comedy,Family,Romance"
207,tt1678052,5.2,Sucker,"Action,Adventure,Comedy"
208,tt1679290,6.1,Shuttlecock Boys,"Comedy,Drama"
209,tt1680045,6.2,360,"Drama,Thriller"
210,tt1681370,5.3,The Algerian,"Action,Romance,Thriller"
211,tt1682178,6.9,Nicky Newark,Drama
212,tt1683040,6.5,Üvegtigris 3.,Comedy
213,tt1683919,4.3,No Way Out,"Action,Drama"
214,tt1686326,4.8,The Casserole Club,Drama
215,tt1693106,5.8,Angry White Man,Comedy
216,tt1695793,5.8,Love U... Mr. Kalakaar!,"Drama,Romance"
217,tt1700274,8.1,Romans d'ados 2002-2008: 3. Les illusions perdues,"Documentary,Family"
218,tt1701202,7.6,1 Message,Drama
219,tt1702016,4.2,We the Party,Comedy
220,tt1703923,6.0,Vinyl,Comedy
221,tt1703958,5.8,Ek Main Aur Ekk Tu,"Comedy,Drama,Romance"
222,tt1705877,6.6,Kochira Katsushika-ku Kameari kouenmae hashutsujo the Movie: Kachidokibashi o heisa seyo!,"Comedy,Drama"
223,tt1706450,6.6,Molke Soleiman,"Action,Drama,History"
224,tt1709653,5.6,Earthbound,"Comedy,Fantasy,Romance"
225,tt1709657,8.1,Far Marfa,"Comedy,Drama"
226,tt1709714,6.7,Naufragio,"Drama,Fantasy,Mystery"
227,tt1713439,6.0,Addicted to Love,"Comedy,Drama,Romance"
228,tt1714206,7.1,The Spectacular Now,"Comedy,Drama,Romance"
229,tt1715352,2.9,The Inner Room,"Horror,Mystery,Thriller"
230,tt1716746,7.7,Heinrich Kieber - Datendieb,Documentary
231,tt1717690,6.5,The Amateur Monster Movie,"Comedy,Horror"
232,tt1717736,7.2,Vinyl,"Drama,Romance"
233,tt1719496,6.4,Into Paradiso,Comedy
234,tt1719671,6.9,The Golden Pomegranate,Drama
235,tt1720161,6.4,Messina High,"Comedy,Drama,Romance"
236,tt1720293,6.4,Worst in Show,Documentary
237,tt1721131,6.4,Wangliang de lixiang,Drama
238,tt1721494,6.1,Few Options,"Crime,Drama"
239,tt1721680,6.9,Herman & Shelly,Romance
240,tt1725995,7.6,Kuan meun ho,"Comedy,Romance"
241,tt1726589,5.6,L!fe Happens,Comedy
242,tt1726661,5.2,K.G.,Action
243,tt1727519,4.1,Memlekette demokrasi var,Comedy
244,tt1728196,7.4,Ichimei,Drama
245,tt1728217,4.6,Tomie: Anrimiteddo,Horror
246,tt1728986,5.5,Bol Bachchan,"Action,Comedy,Drama"
247,tt1729218,6.0,R.I.F. (Recherches dans l'Intérêt des Familles),"Crime,Thriller"
248,tt1729659,7.7,Sharon Amrani: Remember His Name,Documentary
249,tt1733578,3.8,World of the Dead: The Zombie Diaries,"Action,Horror,Sci-Fi"
250,tt1734163,7.5,The Price of Sex,"Crime,Documentary,Drama"
251,tt1735350,4.2,Empty Rooms,"Drama,Horror,Mystery"
252,tt1735485,5.9,The Tunnel,"Horror,Mystery,Thriller"
253,tt1735495,6.9,Addiction Incorporated,"Biography,Documentary"
254,tt1735952,6.9,Five Days Gone,Drama
255,tt1736000,1.4,Il settimo annuncio,"Drama,Mystery,Thriller"
256,tt1737724,6.1,Seed Money: The Chuck Holmes Story,"Biography,Documentary,History"
257,tt1740056,5.5,Vete más lejos Alicia,Drama
258,tt1740117,8.7,Toryboy the Movie,"Biography,Documentary,News"
259,tt1740539,1.9,Roda tsanta kai kopana,Comedy
260,tt1740684,6.1,Midori-ko,"Animation,Horror,Sci-Fi"
261,tt1745959,4.9,The Bloody Indulgent,"Comedy,Horror,Musical"
262,tt1748055,8.7,Ikland,"Adventure,Documentary"
263,tt1748157,7.9,Paper Ketchup,"Comedy,Musical,Romance"
264,tt1748212,7.3,Starting at the Finish Line: The Coach Buehler Story,Documentary
265,tt1753471,5.6,Backstabber,Horror
266,tt1753577,7.8,Charlotte: A Wooden Boat Story,"Documentary,Drama"
267,tt1753584,5.3,Chroniques sexuelles d'une famille d'aujourd'hui,"Comedy,Drama,Romance"
268,tt1753602,7.8,Cointelpro 101,"Documentary,History"
269,tt1753728,7.9,Don't Mess with the IRS,"Action,Comedy"
270,tt1753780,7.8,En attendant le vote...,Drama
271,tt1754602,7.8,The Busters - Eine Band für die Ewigkeit,Documentary
272,tt1754649,5.5,The Last Buffalo Hunt,"Documentary,History"
273,tt1754750,4.8,3 of a Kind,"Crime,Drama"
274,tt1754950,6.2,Última sesión,Drama
275,tt1756828,3.4,The Tea Man,"Crime,Mystery,Thriller"
276,tt1758611,8.7,For the Love of Elephants,"Biography,Documentary"
277,tt1758741,6.4,People Like Us,Drama
278,tt1758842,5.6,Wrestling for Jesus: The Tale of T-Money,"Documentary,Drama"
279,tt1759727,7.3,Pâtonâzu,Drama
280,tt1763217,6.3,El perfecto desconocido,"Comedy,Drama"
281,tt1764164,6.2,Adopting Haiti,Documentary
282,tt1764311,5.9,Filthy Rich Filthy Uncle Phil,Comedy
283,tt1764500,7.6,Moves,"Comedy,Drama"
284,tt1765868,8.8,Kiki a csoportban,Documentary
285,tt1766009,5.4,Prankstar,Comedy
286,tt1766044,7.0,Poslednyaya skazka Rity,"Drama,Fantasy,Mystery"
287,tt1770757,4.2,The Perfect Companion,"Comedy,Horror,Romance"
288,tt1772275,3.6,Ghost Stories 4,"Documentary,Horror"
289,tt1773528,7.8,La lucha de San Borja,Documentary
290,tt1773607,7.7,Operation: Get Rid of Pinky,Comedy
291,tt1773790,6.0,Tony & Janina's American Wedding,Documentary
292,tt1776201,5.3,Hawi,Drama
293,tt1779471,7.8,"Russland - Im Reich der Tiger, Bären und Vulkane",Documentary
294,tt1780934,7.8,Omerta,"Crime,Drama,Thriller"
295,tt1782562,6.7,Vorobey,"Drama,Family"
296,tt1783311,6.1,Kagit,Drama
297,tt1783377,7.0,Sri Rama Rajyam,"Drama,Fantasy"
298,tt1783384,6.8,Biba struja,"Biography,Documentary,Drama"
299,tt1783392,5.0,The Odds,"Crime,Mystery"
300,tt1783393,7.0,The Real American - Joe McCarthy,"Biography,Documentary,Drama"
301,tt1785525,7.9,Pretruniga vesture,Documentary
302,tt1786411,6.9,"Basquiat, Une Vie",Documentary
303,tt1786652,8.0,Rockin' the Wall,"Documentary,History,Music"
304,tt1787047,5.8,Aku tak bodoh,Comedy
305,tt1787741,4.2,King of the Game,Action
306,tt1787777,6.9,Page One: Inside the New York Times,Documentary
307,tt1789077,6.5,The Space Between,"Drama,Romance"
308,tt1791681,3.9,Treehouse,"Horror,Mystery,Thriller"
309,tt1792647,6.8,Cirque du Soleil: Worlds Away,Fantasy
310,tt1792801,5.9,Demons and Doors,"Drama,Thriller"
311,tt1793223,5.6,Free Samples,"Comedy,Drama"
312,tt1793290,6.5,The Sentinel's Flight,Drama
313,tt1793296,6.1,Wes and Ella,Drama
314,tt1796580,7.5,Orr Eravuu,"Horror,Mystery,Thriller"
315,tt1796652,7.5,Tôkyô kazoku,Drama
316,tt1797449,6.1,Mi primera boda,"Comedy,Romance"
